scrape_date,flight_date,route,carrier,advance_days,base_fare,taxes_and_fees,total_fare
2026-08-01,2026-09-15,DEL-BOM,IndiGo,45,3931,707,4638
2026-08-01,2026-09-15,DEL-BOM,IndiGo,45,4721,849,5570
2026-08-01,2026-09-15,DEL-BOM,IndiGo,45,4026,724,4750
2026-08-01,2026-09-15,DEL-BOM,IndiGo,45,4021,723,4744
2026-08-01,2026-09-15,DEL-BOM,IndiGo,45,3832,689,4521
2026-08-01,2026-08-31,DEL-BOM,IndiGo,30,4265,767,5032
2026-08-01,2026-08-31,DEL-BOM,IndiGo,30,4686,843,5529
2026-08-01,2026-08-31,DEL-BOM,IndiGo,30,4658,838,5496
2026-08-01,2026-08-31,DEL-BOM,IndiGo,30,4688,843,5531
2026-08-01,2026-08-31,DEL-BOM,IndiGo,30,4320,777,5097
2026-08-01,2026-08-16,DEL-BOM,IndiGo,15,6245,1124,7369
2026-08-01,2026-08-16,DEL-BOM,IndiGo,15,6053,1089,7142
2026-08-01,2026-08-16,DEL-BOM,IndiGo,15,6370,1146,7516
2026-08-01,2026-08-16,DEL-BOM,IndiGo,15,6494,1168,7662
2026-08-01,2026-08-16,DEL-BOM,IndiGo,15,5911,1063,6974
2026-08-01,2026-08-08,DEL-BOM,IndiGo,7,8451,1521,9972
2026-08-01,2026-08-08,DEL-BOM,IndiGo,7,7165,1289,8454
2026-08-01,2026-08-08,DEL-BOM,IndiGo,7,8080,1454,9534
2026-08-01,2026-08-08,DEL-BOM,IndiGo,7,7603,1368,8971
2026-08-01,2026-08-08,DEL-BOM,IndiGo,7,8326,1498,9824
2026-08-01,2026-08-02,DEL-BOM,IndiGo,1,11646,2096,13742
2026-08-01,2026-08-02,DEL-BOM,IndiGo,1,11068,1992,13060
2026-08-01,2026-08-02,DEL-BOM,IndiGo,1,12228,2201,14429
2026-08-01,2026-08-02,DEL-BOM,IndiGo,1,12702,2286,14988
2026-08-01,2026-08-02,DEL-BOM,IndiGo,1,11524,2074,13598
2026-08-01,2026-09-15,DEL-BOM,Air India,45,4473,805,5278
2026-08-01,2026-09-15,DEL-BOM,Air India,45,4825,868,5693
2026-08-01,2026-09-15,DEL-BOM,Air India,45,5309,955,6264
2026-08-01,2026-09-15,DEL-BOM,Air India,45,5420,975,6395
2026-08-01,2026-09-15,DEL-BOM,Air India,45,4519,813,5332
2026-08-01,2026-08-31,DEL-BOM,Air India,30,5396,971,6367
2026-08-01,2026-08-31,DEL-BOM,Air India,30,4982,896,5878
2026-08-01,2026-08-31,DEL-BOM,Air India,30,5655,1017,6672
2026-08-01,2026-08-31,DEL-BOM,Air India,30,6055,1089,7144
2026-08-01,2026-08-31,DEL-BOM,Air India,30,5495,989,6484
2026-08-01,2026-08-16,DEL-BOM,Air India,15,7141,1285,8426
2026-08-01,2026-08-16,DEL-BOM,Air India,15,7479,1346,8825
2026-08-01,2026-08-16,DEL-BOM,Air India,15,7150,1287,8437
2026-08-01,2026-08-16,DEL-BOM,Air India,15,7155,1287,8442
2026-08-01,2026-08-16,DEL-BOM,Air India,15,6852,1233,8085
2026-08-01,2026-08-08,DEL-BOM,Air India,7,9968,1794,11762
2026-08-01,2026-08-08,DEL-BOM,Air India,7,8214,1478,9692
2026-08-01,2026-08-08,DEL-BOM,Air India,7,9855,1773,11628
2026-08-01,2026-08-08,DEL-BOM,Air India,7,9443,1699,11142
2026-08-01,2026-08-08,DEL-BOM,Air India,7,9808,1765,11573
2026-08-01,2026-08-02,DEL-BOM,Air India,1,14065,2531,16596
2026-08-01,2026-08-02,DEL-BOM,Air India,1,12130,2183,14313
